data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,3,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.0133590756345696,0.012567626051798,0.0141505252173411,0.000925473649540895,0,1825,3336,17243,1848,1825,5594,20579,1,6,1,23,2258
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,2,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.00985889490251978,0.00928743498287966,0.01043035482216,0.000726845163693733,0,1301,2056,9575,1313,1301,3146,11631,1,6,1,12,1090
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.491515205076701,0.491306137992461,0.491724272160941,0.000495777501953907,0,729,538,2886,1433,729,3578,3424,1,6,1,704,3040
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0264249091883767,0.0260725308641976,0.0267772875125558,0.000514267130264929,0,526,495,2465,540,526,847,2960,1,6,1,14,352
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,2,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0264122233022145,0.0260519547325103,0.0267724918719187,0.000500962481927959,0,526,508,2463,540,526,847,2971,1,6,1,14,339
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,3,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.465623155096905,0.465401932122709,0.465844378071101,0.000504969424229058,0,988,735,3776,1848,988,5594,4511,1,6,1,860,4859
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,3,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.45276411827544,0.452521469482985,0.453006767067897,0.000494986491609239,0,974,714,3690,1779,974,5128,4404,1,6,1,805,4414
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,3,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.466470106118345,0.466246553592465,0.466693658644227,0.000467862135527836,0,893,647,3333,1673,893,4576,3980,1,2,1,780,3929
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,2,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.44363612959535,0.44350076941608,0.44377148977462,0.000348219980451971,0,502,288,1488,902,502,1702,1776,1,6,1,400,1414
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.466611380885554,0.466366810642906,0.466855951128203,0.00370018156178763,3,951,782,3976,1779,954,5128,4758,1,6,1,828,4346
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.532504243085665,0.532296000207975,0.532712485963356,0.000527125215006837,0,558,401,2137,1193,558,2685,2538,1,6,1,635,2284
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,4,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.481533436906964,0.481374665089684,0.481692208724243,0.000402721991939965,0,681,434,2203,1313,681,3146,2637,1,6,1,632,2712
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,2,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.497391554017404,0.497215340024408,0.4975677680104,0.000422767423428271,0,537,368,1909,1068,537,2212,2277,1,6,1,531,1844
